dropoff_date,tpep_dropoff_datetime,Borough,Zone,Trip_distance
2018-01-01,2018-01-01T23:22:29.000Z,Queens,JFK Airport,46.25
2018-01-01,2018-01-01T16:53:17.000Z,EWR,Newark Airport,44.12
2018-01-01,2018-01-01T11:04:34.000Z,EWR,Newark Airport,41.6
2018-01-01,2018-01-01T11:11:34.000Z,Queens,JFK Airport,40.2
2018-01-01,2018-01-01T16:16:52.000Z,Queens,JFK Airport,39.4
2018-01-02,2018-01-02T17:23:53.000Z,Manhattan,Central Park,51.2
2018-01-02,2018-01-02T13:48:31.000Z,Manhattan,Midtown South,39.84
2018-01-02,2018-01-02T10:04:44.000Z,EWR,Newark Airport,39.7
2018-01-02,2018-01-02T15:56:44.000Z,Manhattan,Midtown North,39.01
2018-01-02,2018-01-02T20:16:27.000Z,Staten Island,Eltingville/Annadale/Prince's Bay,37.64
2018-01-03,2018-01-03T12:58:27.000Z,Brooklyn,Brooklyn Heights,65.51
2018-01-03,2018-01-03T12:35:32.000Z,EWR,Newark Airport,42.79
2018-01-03,2018-01-03T20:46:27.000Z,Queens,JFK Airport,42.4
2018-01-03,2018-01-03T10:21:13.000Z,Queens,JFK Airport,40.89
2018-01-03,2018-01-03T12:54:49.000Z,EWR,Newark Airport,39.08
2018-01-04,2018-01-04T17:16:31.000Z,Queens,Flushing Meadows-Corona Park,54.83
2018-01-04,2018-01-04T16:39:30.000Z,Queens,JFK Airport,54.12
2018-01-04,2018-01-04T19:57:46.000Z,Manhattan,Lincoln Square East,50.71
2018-01-04,2018-01-04T15:42:45.000Z,Manhattan,Midtown North,41.3
2018-01-04,2018-01-04T20:31:34.000Z,Manhattan,Yorkville West,39.87
2018-01-05,2018-01-05T01:44:22.000Z,Manhattan,Yorkville West,85.2
2018-01-05,2018-01-05T16:22:23.000Z,Queens,JFK Airport,56.42
2018-01-05,2018-01-05T22:28:05.000Z,Bronx,East Tremont,51.11
2018-01-05,2018-01-05T15:26:17.000Z,Manhattan,Midtown East,50.2
2018-01-05,2018-01-05T18:16:08.000Z,Queens,JFK Airport,49.15
2018-01-06,2018-01-06T06:42:37.000Z,EWR,Newark Airport,49.57
2018-01-06,2018-01-06T05:40:58.000Z,Manhattan,Yorkville West,48.82
2018-01-06,2018-01-06T21:19:53.000Z,Brooklyn,Greenpoint,44.26
2018-01-06,2018-01-06T20:11:43.000Z,EWR,Newark Airport,44.2
2018-01-06,2018-01-06T14:12:55.000Z,EWR,Newark Airport,43.6
2018-01-07,2018-01-07T20:50:06.000Z,Manhattan,TriBeCa/Civic Center,62.36
2018-01-07,2018-01-07T08:55:17.000Z,Queens,Richmond Hill,61.4
2018-01-07,2018-01-07T10:46:19.000Z,Queens,LaGuardia Airport,56.26
2018-01-07,2018-01-07T20:14:41.000Z,Manhattan,Midtown South,54.29
2018-01-07,2018-01-07T15:33:43.000Z,EWR,Newark Airport,47.6
